sentiment-1 : word-1,sentiment-0 : word-0,sentiment-1 : word-0,lemma,word_set,accuracy
2061,21102,22939,scrip,"{'scrip', 'scrips'}",26837
11341,11825,13659,wor,"{'wor', 'worest'}",26834
11040,12128,13960,ok,{'ok'},26832
9159,14010,15841,pt,{'pt'},26831
14566,12261,10434,ery,{'ery'},26827
14262,8939,10738,hav,{'hav'},26799
7456,15748,17544,loo,{'loo'},26796
15665,7545,9335,po,{'po'},26790
2148,21099,22852,pose,"{'posed', 'pose', 'poses', 'posing'}",26753
8199,18501,16801,eco,{'eco'},26700
5735,20962,19265,port,"{'port', 'ports', 'ported'}",26697
6203,17145,18797,look,"{'looked', 'looking', 'looks', 'look'}",26652
16558,6816,8442,ave,"{'aving', 'ave'}",26626
727,22649,24273,uppose,{'upposed'},26624
4216,22396,20784,fam,{'fam'},26612
5704,20903,19296,day,"{'days', 'day'}",26607
17516,5920,7484,act,"{'acts', 'act', 'acted'}",26564
9611,16950,15389,story,"{'storys', 'stories', 'story'}",26561
14388,9052,10612,ey,{'ey'},26560
3905,19541,21095,well,"{'better', 'wells', 'welling'}",26554
6820,19720,18180,ian,{'ian'},26540
424,23042,24576,crap,"{'crapped', 'craps', 'crapping', 'crap'}",26534
3820,19650,21180,bette,{'bette'},26530
8692,14783,16308,watch,"{'watches', 'watched', 'watching', 'watch'}",26525
5659,20866,19341,year,"{'years', 'year'}",26525
2333,21150,22667,east,{'east'},26517
12247,11240,12753,like,"{'liking', 'likes', 'like', 'liked'}",26513
8708,14781,16292,wat,{'wat'},26511
12508,10991,12492,ike,{'ike'},26501
7510,18979,17490,wil,{'wil'},26489
1164,22362,23836,money,"{'money', 'moneys'}",26474
9719,16747,15281,tory,{'tory'},26466
5252,18295,19748,let,"{'letting', 'lets', 'let'}",26453
3274,23177,21726,mend,"{'mending', 'mended', 'mend'}",26451
7187,19263,17813,tai,{'tai'},26450
13047,13398,11953,good,"{'best', 'goods', 'good'}",26445
5694,20747,19306,fect,{'fect'},26441
14065,9494,10935,cr,{'cr'},26441
5260,18302,19740,stu,{'stu'},26438
321,23257,24679,horrible,{'horrible'},26422
3763,22653,21237,wonder,"{'wonders', 'wondering', 'wonder', 'wondered'}",26416
3317,23093,21683,alway,{'alway'},26410
4956,21451,20044,nit,"{'nits', 'nit'}",26407
7980,18415,17020,lay,"{'lays', 'laying', 'lay', 'laid', 'layed'}",26395
19680,6709,5320,man,"{'man', 'mans', 'maned', 'manning', 'men', 'manned'}",26389
3757,22621,21243,young,"{'youngs', 'younger', 'young', 'youngest'}",26378
14333,12044,10667,ear,"{'ears', 'ear'}",26377
4367,22007,20633,hear,"{'hearing', 'heared', 'hears', 'heard', 'hear'}",26374
2482,23889,22518,heart,"{'hearts', 'heart'}",26371
10760,12874,14240,use,"{'use', 'uses'}",26366
2609,23756,22391,fav,{'fav'},26365
12665,13700,12335,der,{'der'},26365
2312,21325,22688,guy,"{'guys', 'guy'}",26363
7429,18927,17571,play,"{'play', 'played', 'playes', 'playing', 'plays'}",26356
3287,20366,21713,actual,{'actual'},26347
6426,17235,18574,yin,{'yin'},26339
1929,24399,23071,brill,{'brill'},26328
1887,24440,23113,brilliant,"{'brilliants', 'brilliant'}",26327
1910,24401,23090,brillian,{'brillian'},26311
6951,19357,18049,til,{'til'},26308
5313,20990,19687,till,{'till'},26303
10119,16180,14881,ful,{'ful'},26299
2060,21644,22940,reason,"{'reasons', 'reason', 'reasoned'}",26296
6098,17607,18902,bee,"{'bees', 'bee'}",26295
6034,20259,18966,mil,{'mil'},26293
6271,20022,18729,tain,{'tain'},26293
2045,21663,22955,reaso,{'reaso'},26292
3286,20426,21714,ash,"{'ash', 'ashed'}",26288
2789,20925,22211,actually,{'actually'},26286
6748,16967,18252,aus,{'aus'},26285
16131,10154,8869,ill,"{'ills', 'ill'}",26285
6964,19317,18036,spec,"{'specs', 'spec'}",26281
857,22877,24143,fail,"{'fails', 'failed', 'failing', 'fail'}",26266
4820,21445,20180,live,"{'lived', 'living', 'live', 'lives'}",26265
1848,24413,23152,favorite,"{'favorites', 'favorite'}",26261
2786,20954,22214,kill,"{'killing', 'kill', 'kills', 'killed'}",26260
1289,22453,23711,instead,{'instead'},26258
2924,23328,22076,commend,"{'commended', 'commends', 'commending', 'commend'}",26252
6147,17603,18853,cause,"{'cause', 'causing', 'causes', 'caused'}",26250
1820,24428,23180,favorit,{'favorit'},26248
2847,23391,22153,recommend,"{'recommend', 'recommended', 'recommends', 'recommending'}",26238
18883,4881,6117,ere,"{'eres', 'ere'}",26236
5160,21071,19840,stil,{'stil'},26231
1577,22199,23423,anno,{'anno'},26224
2490,23731,22510,zing,"{'zing', 'zings'}",26221
1850,24371,23150,amazing,{'amazing'},26221
16430,9788,8570,com,"{'com', 'coms'}",26218
2653,21132,22347,actuall,{'actuall'},26215
523,23263,24477,lame,"{'lame', 'lamest'}",26214
2487,21300,22513,laugh,"{'laughing', 'laughs', 'laugh', 'laughed'}",26213
10969,12823,14031,kin,"{'kin', 'kins'}",26208
14698,11507,10302,fu,{'fu'},26205
3775,22423,21225,role,"{'roled', 'role', 'roles'}",26198
1611,22193,23389,dialog,"{'dialogs', 'dialog'}",26196
4862,21333,20138,wee,"{'wee', 'weeing'}",26195
9182,14625,15818,king,"{'kings', 'king'}",26193
1683,22127,23317,dial,"{'dialing', 'dials', 'dialling', 'dialed', 'dial'}",26190
3390,20420,21610,something,"{'somethin', 'somethings'}",26190
1444,22367,23556,stead,{'stead'},26189
3404,20412,21596,log,"{'logging', 'logged', 'log', 'logs'}",26184
388,23431,24612,diculous,{'diculous'},26181
7155,16667,17845,dis,{'dis'},26178
387,23440,24613,ridiculous,{'ridiculous'},26173
5184,18648,19816,mon,{'mon'},26168
488,23360,24512,annoy,"{'annoyed', 'annoy', 'annoys'}",26152
3554,22597,21446,lass,"{'lasses', 'lass'}",26151
1592,22257,23408,sap,"{'saps', 'sapped', 'sap', 'sapping'}",26151
3584,20275,21416,tually,{'tually'},26141
967,22903,24033,save,"{'save', 'saving', 'saved', 'saves'}",26130
1550,22320,23450,sapp,{'sapp'},26130
3531,22583,21469,ya,{'ya'},26114
10807,13084,14193,red,"{'red', 'reds'}",26109
4371,21735,20629,comman,{'commen'},26106
7042,19064,17958,sic,"{'sics', 'sicked', 'sic'}",26106
4338,21767,20662,iff,{'iff'},26105
3199,22906,21801,world,"{'worlds', 'world'}",26105
1621,22275,23379,empt,{'empt'},26104
2858,23242,22142,specially,{'specially'},26100
4793,19108,20207,bly,{'bly'},26099
7074,16829,17926,go,"{'gon', 'gone', 'went', 'gos', 'goes', 'goin', 'going'}",26097
13090,13006,11910,ant,"{'ant', 'ants'}",26096
14011,9893,10989,int,{'int'},26096
3469,22622,21531,music,"{'music', 'musics'}",26091
3156,22934,21844,class,"{'class', 'classing', 'classed', 'classes'}",26090
5915,17997,19085,try,"{'tryed', 'tried', 'tries', 'trys', 'try', 'trying'}",26088
1188,22725,23812,appoint,"{'appoints', 'appointing', 'appointed', 'appoint'}",26087
2017,21903,22983,complete,"{'completes', 'complete', 'completed', 'completing'}",26080
4120,21957,20880,show,"{'showing', 'shows', 'showed', 'shown'}",26077
3323,22754,21677,rise,"{'rises', 'risen', 'rise', 'rising'}",26077
1127,22796,23873,disappoint,"{'disappoint', 'disappointed', 'disappoints'}",26077
13341,12731,11659,art,"{'arts', 'art'}",26072
1323,22607,23677,half,"{'halves', 'half', 'halfs'}",26070
15275,8656,9725,ap,{'ap'},26069
9435,14497,15565,app,{'app'},26068
2025,24040,22975,favor,"{'favored', 'favors', 'favor'}",26065
4313,21752,20687,hum,"{'hum', 'hummed', 'hums', 'humming'}",26065
2574,23490,22426,family,"{'families', 'family'}",26064
2426,23635,22574,nite,"{'nites', 'nite'}",26061
3364,20576,21636,write,"{'writes', 'written', 'wrote', 'write'}",26060
4717,21342,20283,ark,{'ark'},26059
8221,17838,16779,ice,"{'ices', 'ice'}",26059
3075,20868,21925,sly,{'sly'},26057
472,23475,24528,heap,"{'heaps', 'heaped', 'heap'}",26053
2639,21309,22361,hole,"{'holed', 'holing', 'hole', 'holes'}",26052
1280,22669,23720,tempt,"{'tempt', 'tempted', 'tempts'}",26051
2767,23282,22233,especially,{'especially'},26049
2972,23068,22028,differ,"{'differed', 'differing', 'differ', 'differs'}",26040
2660,23378,22340,init,"{'inits', 'init'}",26038
2346,23690,22654,classic,"{'classic', 'classics'}",26036
4765,21268,20235,late,"{'late', 'lated', 'latest'}",26033
2964,23068,22036,def,{'def'},26032
357,23616,24643,annoying,{'annoying'},26027
1568,24456,23432,highly,{'highly'},26024
357,23620,24643,noying,{'noying'},26023
15804,10219,9196,ia,{'ia'},26023
424,23554,24576,cheap,"{'cheapest', 'cheap', 'cheaper'}",26022
2591,23429,22409,especial,{'especial'},26020
3687,22331,21313,eet,{'eet'},26018
4615,21402,20385,fan,"{'fanned', 'fan', 'fanning', 'fans'}",26017
1125,22858,23875,attempt,"{'attempt', 'attempts', 'attempted', 'attempting'}",26017
1564,24452,23436,today,"{'today', 'todays'}",26016
1657,24352,23343,touch,"{'touch', 'touches', 'touched'}",26009
2571,23435,22429,ship,"{'ship', 'ships', 'shipped'}",26006
16432,9574,8568,fa,{'fa'},26006
19999,4000,5001,oo,{'oo'},26001
17079,8920,7921,tio,{'tio'},25999
1301,22701,23699,hour,"{'hours', 'hour'}",25998
5027,20970,19973,mar,"{'marring', 'marred', 'mar'}",25997
20776,3228,4224,di,"{'di', 'dis'}",25996
2924,23072,22076,fully,{'fully'},25996
22379,1626,2621,ot,{'ot'},25995
2925,23067,22075,rue,"{'rue', 'ruing', 'rues'}",25992
2549,23443,22451,different,"{'differents', 'different'}",25992
1846,24145,23154,ouch,{'ouch'},25991
2491,23498,22509,true,"{'true', 'truest'}",25989
2117,21895,22883,non,{'non'},25988
1135,22878,23865,lam,"{'lam', 'lams'}",25987
2195,23791,22805,fine,"{'fined', 'finer', 'fines', 'finest', 'fine'}",25986
19017,6967,5983,ion,{'ion'},25984
539,23484,24461,void,"{'void', 'voids'}",25977
2400,21624,22600,pretty,"{'pretty', 'prettier'}",25976
3162,20863,21838,tent,"{'tents', 'tent'}",25975
3046,20981,21954,doesn,{'doesn'},25973
4338,21634,20662,emo,{'emo'},25972
128,23902,24872,poorly,{'poorly'},25970
2641,21390,22359,rid,"{'rids', 'ridding', 'rid'}",25969
1793,24175,23207,strong,"{'strongest', 'stronger', 'strong'}",25968
4595,19443,20405,want,"{'want', 'wants', 'wanted', 'wanting'}",25962
14881,9159,10119,ny,{'ny'},25960
6125,17915,18875,mad,"{'mad', 'madding'}",25960
799,23241,24201,ulous,{'ulous'},25960
1433,22608,23567,obvious,{'obvious'},25959
2875,21169,22125,lack,"{'lacked', 'lack', 'lacks', 'lacking'}",25956
5383,20572,19617,rien,{'rien'},25955
6779,17266,18221,low,"{'low', 'lows', 'lowest', 'lower'}",25955
4151,21803,20849,aye,{'aye'},25954
18590,5459,6410,eve,"{'eves', 'eve'}",25951
270,23784,24730,dull,"{'dulled', 'dulling', 'dulls', 'duller', 'dull', 'dullest'}",25946
1979,23967,23021,definite,{'definite'},25946
443,23621,24557,avoid,"{'avoiding', 'avoid', 'avoids', 'avoided'}",25936
4527,21409,20473,ness,{'ness'},25936
1766,24169,23234,master,"{'master', 'mastered', 'mastering', 'masters'}",25935
2031,23902,22969,finite,{'finite'},25933
2833,21236,22167,mean,"{'mean', 'meant', 'meaner', 'meaning', 'means'}",25931
2502,23426,22498,deli,{'deli'},25928
2545,23382,22455,surpris,{'surpris'},25927
3923,20150,21077,err,"{'erring', 'errs', 'erred', 'err'}",25927
2005,23918,22995,tron,{'tron'},25923
2948,22971,22052,hip,"{'hippest', 'hips', 'hip'}",25919
1415,22666,23585,bud,"{'bud', 'budding', 'buds'}",25919
5940,19976,19060,fer,{'fer'},25916
13859,12056,11141,ls,{'ls'},25915
3728,22181,21272,vis,{'vis'},25909
12638,11454,12362,ff,"{'ff', 'ffs'}",25908
1155,22938,23845,budge,"{'budge', 'budged'}",25907
1153,22941,23847,budget,"{'budgeted', 'budget', 'budgets'}",25906
3821,22083,21179,inn,{'inn'},25904
22081,2015,2919,wa,{'wa'},25904
4852,21051,20148,new,"{'new', 'newest', 'newer'}",25903
1661,22439,23339,tryin,{'tryin'},25900
2775,21330,22225,fort,"{'fort', 'forts'}",25895
4223,19883,20777,rob,"{'rob', 'robbed', 'robs', 'robbing'}",25894
9760,14346,15240,ire,{'ire'},25894
2434,23460,22566,job,"{'jobs', 'job', 'jobbed'}",25894
3588,22301,21412,vent,"{'venting', 'vented', 'vent', 'vents'}",25889
1748,22363,23252,horror,"{'horrors', 'horror'}",25889
12362,13526,12638,oun,{'oun'},25888
2704,21412,22296,shoot,"{'shot', 'shooting', 'shoots', 'shoot', 'shooted'}",25884
3233,20888,21767,mea,{'mea'},25879
6648,17476,18352,ick,{'ick'},25876
1840,24036,23160,definitely,{'definitely'},25876
768,23357,24232,unfortunately,{'unfortunately'},25875
322,23803,24678,suck,"{'sucks', 'sucked', 'suck'}",25875
11117,14756,13883,tic,"{'tic', 'tics'}",25873
3976,21896,21024,tog,"{'togs', 'tog'}",25872
947,23182,24053,unfortunate,"{'unfortunate', 'unfortunates'}",25871
994,23137,24006,guess,"{'guessed', 'guess', 'guesses', 'guessing'}",25869
5710,18421,19290,dir,{'dir'},25869
18398,5733,6602,av,{'av'},25869
9979,14154,15021,ring,"{'ringing', 'ring', 'rung', 'rings', 'rang', 'ringed'}",25867
3222,22644,21778,cap,"{'capping', 'cap', 'capped', 'caps', 'caped'}",25866
8089,17770,16911,tan,"{'tan', 'tanned', 'tans', 'tanning'}",25859
1868,23991,23132,finitely,{'finitely'},25859
596,23546,24404,decent,{'decent'},25858
2774,23081,22226,ray,"{'rayed', 'ray', 'rays'}",25855
8269,15877,16731,ade,{'ade'},25854
1718,24133,23282,mast,"{'masts', 'mast'}",25851
21238,2912,3762,hat,"{'hat', 'hats'}",25850
2103,23747,22897,pow,"{'pows', 'pow'}",25850
4460,19692,20540,rap,"{'rap', 'rapped', 'raps'}",25848
2512,23335,22488,bring,"{'bring', 'bringing', 'brings', 'brought'}",25847
3841,20315,21159,sting,"{'stings', 'stung', 'sting'}",25844
1884,23960,23116,power,"{'powers', 'powered', 'powering', 'power'}",25844
6472,17686,18528,get,"{'got', 'gets', 'getting', 'geting', 'gotten'}",25842
6195,19647,18805,war,"{'wars', 'war', 'warred', 'warring'}",25842
2568,21590,22432,bar,"{'barring', 'bars', 'bar', 'barred'}",25842
3767,20394,21233,read,"{'read', 'reading', 'reads'}",25839
3734,22103,21266,enter,"{'enters', 'enteres', 'enter', 'entered', 'entering'}",25837
1824,24012,23176,emotion,"{'emotions', 'emotion'}",25836
1135,24701,23865,fantastic,{'fantastic'},25836
918,23246,24082,fortunately,{'fortunately'},25836
2188,23645,22812,tray,{'tray'},25833
851,23321,24149,joke,"{'jokes', 'joke', 'joking', 'joked'}",25828
5036,19137,19964,vie,"{'vying', 'vies', 'vied'}",25827
1580,22595,23420,maybe,"{'maybe', 'maybes'}",25825
4129,21694,20871,wing,"{'wings', 'winging', 'winged', 'wing'}",25823
7084,17093,17916,ink,"{'ink', 'inked'}",25823
1138,24685,23862,tastic,{'tastic'},25823
6943,17235,18057,reall,{'reall'},25822
9018,15165,15982,wha,{'wha'},25817
417,23767,24583,bore,"{'bores', 'bored', 'bore'}",25816
10003,14187,14997,bout,"{'bout', 'bouts'}",25810
9968,14227,15032,abou,{'abou'},25805
4554,21251,20446,cast,"{'cast', 'casting', 'casted', 'casts'}",25805
4537,21268,20463,nic,{'nic'},25805
14892,9303,10108,ally,"{'allies', 'ally', 'allied', 'allying'}",25805
3140,21055,21860,ney,{'ney'},25805
1908,22291,23092,temp,{'temp'},25801
2337,23462,22663,super,"{'supers', 'super'}",25799
1345,22857,23655,total,"{'totals', 'totaled', 'totalling', 'total', 'totaling', 'totalled'}",25798
3795,22002,21205,light,"{'lighting', 'light', 'lighter', 'lightest', 'lights'}",25797
3017,21187,21983,say,"{'said', 'saying', 'says'}",25796
2543,23251,22457,drama,"{'drama', 'dramas'}",25794
2643,23151,22357,rama,{'rama'},25794
2367,23427,22633,ific,{'ific'},25794
15938,9854,9062,iv,{'iv'},25792
1982,22226,23018,idea,"{'ideas', 'idea'}",25792
1180,23029,23820,tuna,{'tuna'},25791
4276,21513,20724,special,"{'specials', 'special'}",25789
1171,23046,23829,fortunate,{'fortunate'},25783
1940,23839,23060,portray,"{'portraying', 'portray', 'portrays', 'portrayed'}",25779
3561,22217,21439,send,"{'sending', 'send', 'sends', 'sent'}",25778
427,23798,24573,dum,{'dum'},25775
19858,5915,5142,rt,{'rt'},25773
14059,11713,10941,end,"{'ends', 'end', 'ending', 'ended'}",25772
6100,19671,18900,work,"{'worked', 'work', 'working', 'works', 'wrought'}",25771
6046,18184,18954,ret,{'ret'},25770
2805,22964,22195,chil,{'chil'},25769
3070,22699,21930,arm,"{'arm', 'arms', 'armed', 'arming'}",25769
5026,19208,19974,actor,"{'actor', 'actors'}",25766
2000,23761,23000,move,"{'moved', 'moves', 'moving'}",25761
331,23909,24669,ntless,{'ntless'},25760
5876,18365,19124,rest,"{'rest', 'rests', 'rested'}",25759
15184,10574,9816,ci,{'ci'},25758
1360,22883,23640,tot,"{'tots', 'tot'}",25757
2489,23261,22511,apt,{'apt'},25750
1283,22971,23717,completely,{'completely'},25746
2344,23398,22656,dvd,"{'dvd', 'dvds'}",25742
1044,23216,23956,dialogue,"{'dialogues', 'dialogue'}",25740
6452,19287,18548,find,"{'finds', 'finding', 'find', 'found'}",25739
8075,16189,16925,think,"{'thought', 'thinked', 'think', 'thinks', 'thinking'}",25736
1110,23154,23890,mise,{'mise'},25736
199,24067,24801,badly,{'badly'},25734
6005,18262,18995,dire,"{'direst', 'dire'}",25733
1608,24124,23392,memo,{'memo'},25732
1278,22991,23722,wrong,"{'wrong', 'wronged', 'wrongs'}",25731
3102,22628,21898,twee,{'twee'},25730
315,23956,24685,bother,"{'bothered', 'bothers', 'bothering', 'bother'}",25729
1591,24136,23409,support,"{'supports', 'supporting', 'support', 'supported'}",25727
5607,20120,19393,qui,{'qui'},25727
375,23900,24625,sorry,"{'sorriest', 'sorry', 'sorrier'}",25725
110,24166,24890,pointless,{'pointless'},25724
3070,22651,21930,tween,"{'tweens', 'tween'}",25721
2194,23526,22806,motion,"{'motion', 'motions'}",25720
3610,22110,21390,tie,"{'tying', 'tieing', 'ties', 'tied', 'tie'}",25720
1975,23745,23025,deal,"{'dealed', 'dealt', 'deals', 'dealing', 'deal'}",25720
12790,12929,12210,tho,{'tho'},25719
5243,19038,19757,mis,{'mis'},25719
1716,24002,23284,elation,{'elation'},25718
6879,18839,18121,fir,"{'firs', 'fir'}",25718
1040,23246,23960,spend,"{'spend', 'spends', 'spent', 'spending'}",25714
5237,19049,19763,lea,{'leas'},25714
307,23981,24693,dumb,"{'dumb', 'dumbs', 'dumber', 'dumbest'}",25712
10506,13782,14494,min,"{'min', 'mins'}",25712
3013,21278,21987,bla,{'bla'},25709
3731,20561,21269,eff,"{'effed', 'eff', 'effing'}",25708
3482,22224,21518,high,"{'higher', 'highest', 'highs', 'high'}",25706
372,23923,24628,cliché,{'cliché'},25705
5062,19233,19938,chin,"{'chinned', 'chin', 'chins'}",25705
3068,21227,21932,start,"{'starts', 'start', 'started', 'starting'}",25705
3087,21209,21913,tart,"{'tart', 'tarts'}",25704
3021,22679,21979,ref,"{'refs', 'ref'}",25700
2970,21333,22030,ped,{'ped'},25697
1556,24135,23444,relation,"{'relation', 'relations'}",25691
2119,23572,22881,det,{'det'},25691
358,23953,24642,bag,"{'bag', 'bags', 'bagged'}",25689
2075,23607,22925,human,"{'humans', 'human'}",25682
5449,20233,19551,ress,{'ress'},25682
2118,23560,22882,appr,{'appr'},25678
2443,23235,22557,uma,{'uma'},25678
163,24159,24837,embarrass,"{'embarrasses', 'embarrass'}",25678
3565,20757,21435,ably,{'ably'},25678
11203,13126,13797,pro,"{'pros', 'pro'}",25671
1749,23921,23251,tast,{'tast'},25670
1397,22934,23603,kille,{'kille'},25669
1819,22515,23181,lookin,{'lookin'},25666
3528,20807,21472,belie,"{'belied', 'belies', 'belie', 'belying'}",25665
1362,22974,23638,writer,"{'writers', 'writer'}",25664
3084,22578,21916,press,"{'pressing', 'presses', 'pressed', 'press'}",25662
1388,24273,23612,relationship,"{'relationships', 'relationship'}",25661
1998,22342,23002,sense,"{'sensing', 'sense', 'senses', 'sensed'}",25660
508,23835,24492,predictable,{'predictable'},25657
916,23428,24084,throw,"{'threw', 'thrown', 'throw', 'throws', 'throwing'}",25656
4284,21372,20716,bit,"{'bit', 'bits'}",25656
1565,24090,23435,ork,{'orks'},25655
3529,20817,21471,oh,{'oh'},25654
9946,15706,15054,son,"{'sons', 'son'}",25652
5977,18371,19023,direct,"{'directed', 'directs', 'direct', 'directing'}",25652
4195,21456,20805,iss,{'iss'},25651
2856,21494,22144,tem,{'tem'},25650
8003,17647,16997,des,{'des'},25650
6899,18750,18101,imp,"{'imp', 'imps'}",25649
4802,20846,20198,eel,"{'eels', 'eel'}",25648
2317,23331,22683,ration,"{'rations', 'ration', 'rationing', 'rationed'}",25648
4289,20063,20711,line,"{'lined', 'lines', 'line'}",25648
3476,22171,21524,quit,"{'quits', 'quit', 'quited', 'quitting'}",25647
7083,17271,17917,bet,"{'bets', 'bet', 'betting', 'beter'}",25646
458,23897,24542,pathetic,{'pathetic'},25645
1575,22780,23425,plain,"{'plains', 'plain', 'plainest'}",25645
682,23674,24318,predict,"{'predicting', 'predict', 'predicted', 'predicts'}",25644
11770,13873,13230,come,"{'coming', 'comes', 'come', 'came'}",25643
2695,22948,22305,entertain,"{'entertained', 'entertain', 'entertains'}",25643
3734,21908,21266,mag,"{'mags', 'mag'}",25642
2346,23291,22654,ratio,"{'ratios', 'ratio'}",25637
4004,21633,20996,ton,"{'ton', 'tons'}",25637
76,24290,24924,laughable,{'laughable'},25634
3800,20567,21200,rod,"{'rods', 'rod'}",25633
3232,21136,21768,director,"{'director', 'directors'}",25632
1503,22865,23497,review,"{'review', 'reviewing', 'reviewed', 'reviews'}",25632
7543,18088,17457,hei,{'hei'},25631
604,23768,24396,thet,{'thet'},25628
1069,23304,23931,flick,"{'flick', 'flicked', 'flicks', 'flicking'}",25627
888,24738,24112,powerful,{'powerful'},25626
5918,19708,19082,ans,{'ans'},25626
2010,23615,22990,test,"{'testing', 'tested', 'tests', 'test'}",25625
1834,23789,23166,surprise,"{'surprises', 'surprised', 'surprise'}",25623
2341,22037,22659,believe,"{'believed', 'believes', 'believe', 'believing'}",25622
673,23706,24327,rash,{'rash'},25621
1605,24014,23395,roma,{'roma'},25619
126,24255,24874,garbage,"{'garbage', 'garbages'}",25619
9777,15841,15223,age,"{'ages', 'aging', 'ageing', 'age'}",25618
6854,17528,18146,pen,"{'pen', 'penning', 'penned', 'pent', 'pens'}",25618
3255,21128,21745,believ,{'believ'},25617
6612,17771,18388,scene,"{'scenes', 'scene', 'scened'}",25617
1186,23197,23814,mess,"{'messes', 'mess', 'messed', 'messing'}",25617
1169,23215,23831,pain,"{'pained', 'pain', 'pains'}",25616
905,24710,24095,fectly,{'fectly'},25615
128,24257,24872,redeem,"{'redeem', 'redeemed', 'redeeming', 'redeems'}",25615
1814,23800,23186,ten,{'tens'},25614
1795,23819,23205,persona,"{'personas', 'persona'}",25614
1391,24223,23609,deep,"{'deeper', 'deepest', 'deep', 'deeps'}",25614
4593,21020,20407,stand,"{'standed', 'stood', 'stands', 'standing', 'stand'}",25613
144,24243,24856,garb,"{'garbed', 'garb'}",25613
902,24710,24098,perfectly,{'perfectly'},25612
916,24695,24084,unique,{'unique'},25611
